bench,bench_id,tw_id,cosine
tb2,extract-elf,tw_101812,0.5674
tb2,extract-elf,tw_171606,0.5311
tb2,extract-elf,tw_130138,0.5022
tb2,extract-elf,tw_171615,0.4867
tb2,extract-elf,tw_550958,0.4814
tb2,extract-elf,tw_23077,0.4813
tb2,extract-elf,tw_12180,0.4770
tb2,extract-elf,tw_123305,0.4703
tb2,extract-elf,tw_153546,0.4606
tb2,extract-elf,tw_92698,0.4548
tb2,extract-elf,tw_185638,0.4442
tb2,extract-elf,tw_126678,0.4395
tb2,extract-elf,tw_224239,0.4382
tb2,extract-elf,tw_198099,0.4357
tb2,extract-elf,tw_730164,0.4265
tb2,extract-elf,tw_104501,0.4122
tb2,extract-elf,tw_101655,0.4042
tb2,extract-elf,tw_21329,0.4024
tb2,extract-elf,tw_529492,0.4019
tb2,extract-elf,tw_690723,0.3999
tb2,extract-moves-from-video,tw_91304,0.4560
tb2,extract-moves-from-video,tw_757069,0.4092
tb2,extract-moves-from-video,tw_753473,0.4050
tb2,extract-moves-from-video,tw_609101,0.4004
tb2,extract-moves-from-video,tw_474880,0.3793
tb2,extract-moves-from-video,tw_197453,0.3736
tb2,extract-moves-from-video,tw_144971,0.3727
tb2,extract-moves-from-video,tw_668481,0.3711
tb2,extract-moves-from-video,tw_712748,0.3688
tb2,extract-moves-from-video,tw_84824,0.3663
tb2,extract-moves-from-video,tw_34690,0.3659
tb2,extract-moves-from-video,tw_241555,0.3649
tb2,extract-moves-from-video,tw_123683,0.3584
tb2,extract-moves-from-video,tw_615831,0.3548
tb2,extract-moves-from-video,tw_534776,0.3537
tb2,extract-moves-from-video,tw_238890,0.3477
tb2,extract-moves-from-video,tw_102792,0.3445
tb2,extract-moves-from-video,tw_338711,0.3423
tb2,extract-moves-from-video,tw_380466,0.3417
tb2,extract-moves-from-video,tw_372371,0.3416
tb2,feal-differential-cryptanalysis,tw_644384,0.4692
tb2,feal-differential-cryptanalysis,tw_152765,0.4496
tb2,feal-differential-cryptanalysis,tw_124734,0.4232
tb2,feal-differential-cryptanalysis,tw_19419,0.4220
tb2,feal-differential-cryptanalysis,tw_14342,0.4154
tb2,feal-differential-cryptanalysis,tw_108756,0.4056
tb2,feal-differential-cryptanalysis,tw_42850,0.3966
tb2,feal-differential-cryptanalysis,tw_286226,0.3952
tb2,feal-differential-cryptanalysis,tw_740786,0.3881
tb2,feal-differential-cryptanalysis,tw_672428,0.3844
tb2,feal-differential-cryptanalysis,tw_259030,0.3807
tb2,feal-differential-cryptanalysis,tw_307573,0.3630
tb2,feal-differential-cryptanalysis,tw_383451,0.3619
tb2,feal-differential-cryptanalysis,tw_425032,0.3606
tb2,feal-differential-cryptanalysis,tw_601904,0.3593
tb2,feal-differential-cryptanalysis,tw_289006,0.3562
tb2,feal-differential-cryptanalysis,tw_602309,0.3550
tb2,feal-differential-cryptanalysis,tw_693093,0.3548
tb2,feal-differential-cryptanalysis,tw_461445,0.3525
tb2,feal-differential-cryptanalysis,tw_609295,0.3427
tb2,feal-linear-cryptanalysis,tw_644384,0.5723
tb2,feal-linear-cryptanalysis,tw_286226,0.4724
tb2,feal-linear-cryptanalysis,tw_740786,0.4635
tb2,feal-linear-cryptanalysis,tw_693093,0.4448
tb2,feal-linear-cryptanalysis,tw_42850,0.4264
tb2,feal-linear-cryptanalysis,tw_289006,0.4178
tb2,feal-linear-cryptanalysis,tw_383451,0.4094
tb2,feal-linear-cryptanalysis,tw_601904,0.4077
tb2,feal-linear-cryptanalysis,tw_21329,0.4059
tb2,feal-linear-cryptanalysis,tw_19419,0.4058
tb2,feal-linear-cryptanalysis,tw_152765,0.3942
tb2,feal-linear-cryptanalysis,tw_602309,0.3862
tb2,feal-linear-cryptanalysis,tw_232408,0.3807
tb2,feal-linear-cryptanalysis,tw_609295,0.3740
tb2,feal-linear-cryptanalysis,tw_672428,0.3719
tb2,feal-linear-cryptanalysis,tw_229615,0.3699
tb2,feal-linear-cryptanalysis,tw_130138,0.3650
tb2,feal-linear-cryptanalysis,tw_383467,0.3627
tb2,feal-linear-cryptanalysis,tw_166828,0.3590
tb2,feal-linear-cryptanalysis,tw_117526,0.3581
tb2,filter-js-from-html,tw_460448,0.2907
tb2,filter-js-from-html,tw_12702,0.2750
tb2,filter-js-from-html,tw_273601,0.2347
tb2,filter-js-from-html,tw_104903,0.2346
tb2,filter-js-from-html,tw_6336,0.2338
tb2,filter-js-from-html,tw_187148,0.2104
tb2,filter-js-from-html,tw_538641,0.1983
tb2,filter-js-from-html,tw_316426,0.1978
tb2,filter-js-from-html,tw_267933,0.1971
tb2,filter-js-from-html,tw_316425,0.1854
tb2,filter-js-from-html,tw_609295,0.1823
tb2,filter-js-from-html,tw_452384,0.1807
tb2,filter-js-from-html,tw_262649,0.1770
tb2,filter-js-from-html,tw_10593,0.1722
tb2,filter-js-from-html,tw_101457,0.1678
tb2,filter-js-from-html,tw_11733,0.1675
tb2,filter-js-from-html,tw_15324,0.1666
tb2,filter-js-from-html,tw_307573,0.1656
tb2,filter-js-from-html,tw_649919,0.1629
tb2,filter-js-from-html,tw_475630,0.1595
tb2,financial-document-processor,tw_603225,0.4264
tb2,financial-document-processor,tw_12789,0.4023
tb2,financial-document-processor,tw_101457,0.3965
tb2,financial-document-processor,tw_474817,0.3740
tb2,financial-document-processor,tw_288787,0.3701
tb2,financial-document-processor,tw_30769,0.3700
tb2,financial-document-processor,tw_570064,0.3587
tb2,financial-document-processor,tw_474868,0.3578
tb2,financial-document-processor,tw_11045,0.3541
tb2,financial-document-processor,tw_12788,0.3531
tb2,financial-document-processor,tw_647708,0.3483
tb2,financial-document-processor,tw_556670,0.3434
tb2,financial-document-processor,tw_6185,0.3431
tb2,financial-document-processor,tw_12673,0.3385
tb2,financial-document-processor,tw_284665,0.3355
tb2,financial-document-processor,tw_240515,0.3352
tb2,financial-document-processor,tw_529306,0.3309
tb2,financial-document-processor,tw_125983,0.3251
tb2,financial-document-processor,tw_483822,0.3231
tb2,financial-document-processor,tw_474864,0.3182
tb2,fix-code-vulnerability,tw_187776,0.4700
tb2,fix-code-vulnerability,tw_432894,0.4675
tb2,fix-code-vulnerability,tw_15546,0.4556
tb2,fix-code-vulnerability,tw_617008,0.4492
tb2,fix-code-vulnerability,tw_6044,0.4429
tb2,fix-code-vulnerability,tw_677186,0.4389
tb2,fix-code-vulnerability,tw_5263,0.4341
tb2,fix-code-vulnerability,tw_12806,0.4284
